,path,conversion,path_count,conversion_rate,path_list,step
347,Online Display>Paid Search>Instagram>Facebook>Paid Search>Instagram>Facebook,1,1,1.0,"['Online Display', 'Paid Search', 'Instagram', 'Facebook', 'Paid Search', 'Instagram', 'Facebook']",7
348,Online Display>Paid Search>Instagram>Online Display,1,7,0.14285714285714285,"['Online Display', 'Paid Search', 'Instagram', 'Online Display']",4
349,Online Display>Paid Search>Instagram>Online Display>Instagram>Facebook>Instagram>Online Display,1,1,1.0,"['Online Display', 'Paid Search', 'Instagram', 'Online Display', 'Instagram', 'Facebook', 'Instagram', 'Online Display']",8
350,Online Display>Paid Search>Online Display,29,676,0.042899408284023666,"['Online Display', 'Paid Search', 'Online Display']",3
351,Online Display>Paid Search>Online Display>Facebook>Instagram,1,5,0.2,"['Online Display', 'Paid Search', 'Online Display', 'Facebook', 'Instagram']",5
352,Online Display>Paid Search>Online Display>Instagram,1,10,0.1,"['Online Display', 'Paid Search', 'Online Display', 'Instagram']",4
353,Online Display>Paid Search>Online Display>Instagram>Facebook>Instagram>Facebook>Paid Search,1,1,1.0,"['Online Display', 'Paid Search', 'Online Display', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Paid Search']",8
354,Online Display>Paid Search>Online Display>Instagram>Online Display,1,2,0.5,"['Online Display', 'Paid Search', 'Online Display', 'Instagram', 'Online Display']",5
355,Online Display>Paid Search>Online Display>Online Video>Online Display>Paid Search,1,1,1.0,"['Online Display', 'Paid Search', 'Online Display', 'Online Video', 'Online Display', 'Paid Search']",6
356,Online Display>Paid Search>Online Display>Online Video>Paid Search>Facebook>Instagram,1,1,1.0,"['Online Display', 'Paid Search', 'Online Display', 'Online Video', 'Paid Search', 'Facebook', 'Instagram']",7
357,Online Display>Paid Search>Online Display>Online Video>Paid Search>Online Video,1,1,1.0,"['Online Display', 'Paid Search', 'Online Display', 'Online Video', 'Paid Search', 'Online Video']",6
358,Online Display>Paid Search>Online Display>Paid Search,5,123,0.04065040650406504,"['Online Display', 'Paid Search', 'Online Display', 'Paid Search']",4
359,Online Display>Paid Search>Online Display>Paid Search>Facebook>Paid Search,1,1,1.0,"['Online Display', 'Paid Search', 'Online Display', 'Paid Search', 'Facebook', 'Paid Search']",6
360,Online Display>Paid Search>Online Display>Paid Search>Online Display,4,78,0.05128205128205128,"['Online Display', 'Paid Search', 'Online Display', 'Paid Search', 'Online Display']",5
361,Online Display>Paid Search>Online Display>Paid Search>Online Display>Instagram,1,1,1.0,"['Online Display', 'Paid Search', 'Online Display', 'Paid Search', 'Online Display', 'Instagram']",6
362,Online Display>Paid Search>Online Display>Paid Search>Online Display>Paid Search,1,14,0.07142857142857142,"['Online Display', 'Paid Search', 'Online Display', 'Paid Search', 'Online Display', 'Paid Search']",6
363,Online Display>Paid Search>Online Video,4,34,0.11764705882352941,"['Online Display', 'Paid Search', 'Online Video']",3
