,path,conversion,path_count,conversion_rate,path_list
373,Online Video>Facebook>Instagram>Facebook>Instagram>Facebook>Online Video>Facebook>Instagram>Facebook>Online Video>Facebook>Instagram>Facebook>Online Video>Facebook>Instagram>Facebook>Instagram,1,1,1.0,"['Online Video', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Online Video', 'Facebook', 'Instagram', 'Facebook', 'Online Video', 'Facebook', 'Instagram', 'Facebook', 'Online Video', 'Facebook', 'Instagram', 'Facebook', 'Instagram']"
374,Online Video>Facebook>Instagram>Facebook>Online Video>Facebook>Online Video>Instagram>Facebook,1,1,1.0,"['Online Video', 'Facebook', 'Instagram', 'Facebook', 'Online Video', 'Facebook', 'Online Video', 'Instagram', 'Facebook']"
375,Online Video>Facebook>Instagram>Facebook>Online Video>Facebook>Online Video>Instagram>Online Video>Facebook>Online Video,1,1,1.0,"['Online Video', 'Facebook', 'Instagram', 'Facebook', 'Online Video', 'Facebook', 'Online Video', 'Instagram', 'Online Video', 'Facebook', 'Online Video']"
376,Online Video>Facebook>Instagram>Online Video,1,20,0.05,"['Online Video', 'Facebook', 'Instagram', 'Online Video']"
377,Online Video>Facebook>Instagram>Online Video>Facebook,1,9,0.1111111111111111,"['Online Video', 'Facebook', 'Instagram', 'Online Video', 'Facebook']"
378,Online Video>Facebook>Instagram>Paid Search>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Online Video>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Online Video>Facebook>Online Video>Facebook>Paid Search,1,1,1.0,"['Online Video', 'Facebook', 'Instagram', 'Paid Search', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Online Video', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Online Video', 'Facebook', 'Online Video', 'Facebook', 'Paid Search']"
379,Online Video>Facebook>Instagram>Paid Search>Online Video>Paid Search>Instagram,1,1,1.0,"['Online Video', 'Facebook', 'Instagram', 'Paid Search', 'Online Video', 'Paid Search', 'Instagram']"
380,Online Video>Facebook>Online Display,1,9,0.1111111111111111,"['Online Video', 'Facebook', 'Online Display']"
381,Online Video>Facebook>Online Display>Online Video>Facebook>Online Display,1,1,1.0,"['Online Video', 'Facebook', 'Online Display', 'Online Video', 'Facebook', 'Online Display']"
382,Online Video>Facebook>Online Video,17,312,0.05448717948717949,"['Online Video', 'Facebook', 'Online Video']"
383,Online Video>Facebook>Online Video>Facebook,2,41,0.04878048780487805,"['Online Video', 'Facebook', 'Online Video', 'Facebook']"
384,Online Video>Facebook>Online Video>Facebook>Instagram,2,7,0.2857142857142857,"['Online Video', 'Facebook', 'Online Video', 'Facebook', 'Instagram']"
385,Online Video>Facebook>Online Video>Facebook>Online Video,4,29,0.13793103448275862,"['Online Video', 'Facebook', 'Online Video', 'Facebook', 'Online Video']"
386,Online Video>Facebook>Online Video>Facebook>Online Video>Facebook,1,6,0.16666666666666666,"['Online Video', 'Facebook', 'Online Video', 'Facebook', 'Online Video', 'Facebook']"
387,Online Video>Facebook>Online Video>Facebook>Online Video>Instagram>Facebook,1,3,0.3333333333333333,"['Online Video', 'Facebook', 'Online Video', 'Facebook', 'Online Video', 'Instagram', 'Facebook']"
388,Online Video>Facebook>Online Video>Facebook>Online Video>Paid Search,1,2,0.5,"['Online Video', 'Facebook', 'Online Video', 'Facebook', 'Online Video', 'Paid Search']"
389,Online Video>Facebook>Online Video>Instagram,3,29,0.10344827586206896,"['Online Video', 'Facebook', 'Online Video', 'Instagram']"
390,Online Video>Facebook>Online Video>Instagram>Facebook,1,11,0.09090909090909091,"['Online Video', 'Facebook', 'Online Video', 'Instagram', 'Facebook']"
391,Online Video>Facebook>Online Video>Instagram>Online Video,2,8,0.25,"['Online Video', 'Facebook', 'Online Video', 'Instagram', 'Online Video']"
392,Online Video>Facebook>Online Video>Instagram>Online Video>Facebook,1,2,0.5,"['Online Video', 'Facebook', 'Online Video', 'Instagram', 'Online Video', 'Facebook']"
393,Online Video>Facebook>Online Video>Paid Search,2,6,0.3333333333333333,"['Online Video', 'Facebook', 'Online Video', 'Paid Search']"
394,Online Video>Facebook>Online Video>Paid Search>Online Video>Paid Search>Online Video>Online Display,1,1,1.0,"['Online Video', 'Facebook', 'Online Video', 'Paid Search', 'Online Video', 'Paid Search', 'Online Video', 'Online Display']"
395,Online Video>Facebook>Paid Search,4,30,0.13333333333333333,"['Online Video', 'Facebook', 'Paid Search']"
396,Online Video>Facebook>Paid Search>Facebook>Paid Search,1,1,1.0,"['Online Video', 'Facebook', 'Paid Search', 'Facebook', 'Paid Search']"
397,Online Video>Facebook>Paid Search>Instagram>Facebook,1,1,1.0,"['Online Video', 'Facebook', 'Paid Search', 'Instagram', 'Facebook']"
398,Online Video>Facebook>Paid Search>Online Video>Paid Search>Online Video>Paid Search>Facebook,1,1,1.0,"['Online Video', 'Facebook', 'Paid Search', 'Online Video', 'Paid Search', 'Online Video', 'Paid Search', 'Facebook']"
399,Online Video>Instagram,27,349,0.07736389684813753,"['Online Video', 'Instagram']"
400,Online Video>Instagram>Facebook,6,98,0.061224489795918366,"['Online Video', 'Instagram', 'Facebook']"
401,Online Video>Instagram>Facebook>Instagram>Facebook>Instagram,1,1,1.0,"['Online Video', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram']"
402,Online Video>Instagram>Facebook>Instagram>Online Video>Facebook>Online Video,1,1,1.0,"['Online Video', 'Instagram', 'Facebook', 'Instagram', 'Online Video', 'Facebook', 'Online Video']"
403,Online Video>Instagram>Facebook>Online Video,2,26,0.07692307692307693,"['Online Video', 'Instagram', 'Facebook', 'Online Video']"
404,Online Video>Instagram>Facebook>Online Video>Facebook,1,5,0.2,"['Online Video', 'Instagram', 'Facebook', 'Online Video', 'Facebook']"
405,Online Video>Instagram>Facebook>Online Video>Instagram>Facebook,1,2,0.5,"['Online Video', 'Instagram', 'Facebook', 'Online Video', 'Instagram', 'Facebook']"
406,Online Video>Instagram>Online Display,1,7,0.14285714285714285,"['Online Video', 'Instagram', 'Online Display']"
407,Online Video>Instagram>Online Video,14,125,0.112,"['Online Video', 'Instagram', 'Online Video']"
408,Online Video>Instagram>Online Video>Facebook,4,23,0.17391304347826086,"['Online Video', 'Instagram', 'Online Video', 'Facebook']"
409,Online Video>Instagram>Online Video>Facebook>Instagram,1,1,1.0,"['Online Video', 'Instagram', 'Online Video', 'Facebook', 'Instagram']"
410,Online Video>Instagram>Online Video>Facebook>Instagram>Facebook>Online Display>Facebook>Instagram,1,1,1.0,"['Online Video', 'Instagram', 'Online Video', 'Facebook', 'Instagram', 'Facebook', 'Online Display', 'Facebook', 'Instagram']"
411,Online Video>Instagram>Online Video>Facebook>Online Video,1,13,0.07692307692307693,"['Online Video', 'Instagram', 'Online Video', 'Facebook', 'Online Video']"
412,Online Video>Instagram>Online Video>Facebook>Online Video>Facebook,1,2,0.5,"['Online Video', 'Instagram', 'Online Video', 'Facebook', 'Online Video', 'Facebook']"
413,Online Video>Instagram>Online Video>Facebook>Online Video>Facebook>Online Video>Instagram>Online Video,1,1,1.0,"['Online Video', 'Instagram', 'Online Video', 'Facebook', 'Online Video', 'Facebook', 'Online Video', 'Instagram', 'Online Video']"
414,Online Video>Instagram>Online Video>Instagram,1,9,0.1111111111111111,"['Online Video', 'Instagram', 'Online Video', 'Instagram']"
415,Online Video>Instagram>Online Video>Instagram>Facebook>Instagram>Facebook>Online Video>Facebook>Online Video>Instagram>Facebook>Online Video>Facebook>Online Video>Facebook>Instagram>Facebook>Instagram>Facebook,1,1,1.0,"['Online Video', 'Instagram', 'Online Video', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Online Video', 'Facebook', 'Online Video', 'Instagram', 'Facebook', 'Online Video', 'Facebook', 'Online Video', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook']"
416,Online Video>Instagram>Online Video>Instagram>Facebook>Instagram>Online Video>Facebook,1,1,1.0,"['Online Video', 'Instagram', 'Online Video', 'Instagram', 'Facebook', 'Instagram', 'Online Video', 'Facebook']"
417,Online Video>Instagram>Online Video>Online Display>Online Video,1,1,1.0,"['Online Video', 'Instagram', 'Online Video', 'Online Display', 'Online Video']"
418,Online Video>Instagram>Online Video>Paid Search,1,8,0.125,"['Online Video', 'Instagram', 'Online Video', 'Paid Search']"
419,Online Video>Instagram>Online Video>Paid Search>Online Video>Paid Search>Online Video>Facebook,1,1,1.0,"['Online Video', 'Instagram', 'Online Video', 'Paid Search', 'Online Video', 'Paid Search', 'Online Video', 'Facebook']"
420,Online Video>Instagram>Paid Search>Online Video>Online Display>Online Video,1,1,1.0,"['Online Video', 'Instagram', 'Paid Search', 'Online Video', 'Online Display', 'Online Video']"
421,Online Video>Online Display,16,298,0.053691275167785234,"['Online Video', 'Online Display']"
422,Online Video>Online Display>Facebook,1,13,0.07692307692307693,"['Online Video', 'Online Display', 'Facebook']"
423,Online Video>Online Display>Facebook>Instagram,1,3,0.3333333333333333,"['Online Video', 'Online Display', 'Facebook', 'Instagram']"
424,Online Video>Online Display>Instagram>Online Display,1,1,1.0,"['Online Video', 'Online Display', 'Instagram', 'Online Display']"
425,Online Video>Online Display>Online Video,3,107,0.028037383177570093,"['Online Video', 'Online Display', 'Online Video']"
426,Online Video>Online Display>Online Video>Facebook>Online Video,2,5,0.4,"['Online Video', 'Online Display', 'Online Video', 'Facebook', 'Online Video']"
427,Online Video>Online Display>Online Video>Instagram>Online Video,1,1,1.0,"['Online Video', 'Online Display', 'Online Video', 'Instagram', 'Online Video']"
428,Online Video>Online Display>Online Video>Paid Search,3,5,0.6,"['Online Video', 'Online Display', 'Online Video', 'Paid Search']"
